Activity,Albums w/TEA w/SEA On-Demand,Albums w/TEA w/SEA On-Demand Audio,Albums w/ TEA,Total Album Sales,Physical Albums Sales,Digital Albums Sales,Digital Song Sales,Total Streaming On-Demand,Streaming On-Demand Audio,Streaming On-Demand Video,Total Streaming Programmed,Streaming Programmed Audio,Streaming Programmed Video,Airplay Spins,Airplay Audience
Week 23 2019 06/07/2019 - 06/13/2019,"21,028","17,337","5,938","4,954","3,698","1,256","9,792","29,097,633","15,254,009","13,843,624","4,256,510","4,256,510",0,591,"2,061,600"
Week 24 2019 06/14/2019 - 06/20/2019,"21,522","17,641","5,976","5,000","3,726","1,274","9,712","30,165,039","15,610,225","14,554,814","4,252,601","4,252,601",0,664,"2,374,200"
Week 25 2019 06/21/2019 - 06/27/2019,"20,893","17,014","5,263","4,313","3,050","1,263","9,487","30,269,905","15,725,038","14,544,867","4,345,695","4,345,695",0,638,"2,271,600"
Week 26 2019 06/28/2019 - 07/04/2019,"20,708","16,701","5,036","4,047","2,735","1,312","9,875","30,621,785","15,598,162","15,023,623","4,384,444","4,384,444",0,863,"2,608,400"
Week 27 2019 07/05/2019 - 07/11/2019,"20,866","16,832","5,279","4,305","2,970","1,335","9,732","30,580,076","15,452,898","15,127,178","4,451,000","4,451,000",0,605,"2,121,300"
Week 28 2019 07/12/2019 - 07/18/2019,"22,324","18,289","6,131","5,057","3,638","1,419","10,723","31,391,028","16,259,587","15,131,441","4,785,825","4,785,825",0,619,"2,332,800"
Week 29 2019 07/19/2019 - 07/25/2019,"23,416","19,168","6,443","5,335","3,901","1,434","11,063","32,965,248","17,037,420","15,927,828","4,906,027","4,906,027",0,"2,189","10,451,700"
Week 30 2019 07/26/2019 - 08/01/2019,"23,888","18,801","6,190","5,161","3,679","1,482","10,254","35,976,390","16,899,460","19,076,930","4,891,488","4,891,488",0,"1,871","6,835,100"
Week 31 2019 08/02/2019 - 08/08/2019,"23,784","18,980","6,369","5,354","3,864","1,490","10,135","34,910,792","16,897,416","18,013,376","4,907,848","4,907,848",0,581,"2,326,200"
Week 32 2019 08/09/2019 - 08/15/2019,"24,723","19,919","6,897","5,825","4,273","1,552","10,711","35,460,135","17,445,072","18,015,063","5,124,683","5,124,683",0,574,"2,301,200"
Week 33 2019 08/16/2019 - 08/22/2019,"25,071","20,550","7,150","6,050","4,335","1,715","10,996","34,929,194","17,974,426","16,954,768","5,481,394","5,481,394",0,557,"2,109,400"
Week 34 2019 08/23/2019 - 08/29/2019,"26,815","21,850","7,575","6,390","4,562","1,828","11,810","37,776,316","19,155,247","18,621,069","5,893,688","5,893,688",0,565,"2,000,800"
Week 35 2019 08/30/2019 - 09/05/2019,"27,266","22,175","7,612","6,252","4,154","2,098","13,606","38,675,263","19,585,081","19,090,182","5,897,084","5,897,084",0,518,"2,069,700"
Week 36 2019 09/06/2019 - 09/12/2019,"30,218","24,768","8,462","6,925","4,639","2,286","15,337","42,380,352","21,942,917","20,437,435","6,917,962","6,917,962",0,568,"2,232,700"
Week 37 2019 09/13/2019 - 09/19/2019,"33,340","27,651","9,672","8,076","5,516","2,560","15,933","45,557,238","24,222,521","21,334,717","7,649,141","7,649,141",0,526,"2,014,000"
Week 38 2019 09/20/2019 - 09/26/2019,"36,086","30,176","10,831","9,148","6,383","2,765","16,823","48,256,669","26,094,677","22,161,992","8,326,746","8,326,746",0,575,"2,297,000"
Week 39 2019 09/27/2019 - 10/03/2019,"42,889","36,359","13,576","11,615","7,918","3,697","19,544","55,262,451","30,775,624","24,486,827","10,009,673","10,009,673",0,542,"1,994,000"
Week 40 2019 10/04/2019 - 10/10/2019,"57,855","50,399","24,262","21,980","17,093","4,887","22,720","63,278,275","35,314,735","27,963,540","12,124,097","12,124,097",0,585,"1,948,300"
Week 41 2019 10/11/2019 - 10/17/2019,"71,438","61,785","30,366","27,777","22,460","5,317","25,796","78,631,936","42,434,107","36,197,829","14,944,836","14,944,836",0,565,"2,412,400"
Week 42 2019 10/18/2019 - 10/24/2019,"96,643","86,220","49,239","45,849","36,559","9,290","33,770","89,063,021","49,976,761","39,086,260","18,082,486","18,082,486",0,543,"2,228,400"
Week 43 2019 10/25/2019 - 10/31/2019,"141,278","127,895","73,544","68,730","52,654","16,076","48,060","123,257,929","73,071,322","50,186,607","26,258,730","26,258,730",0,"3,921","6,980,600"
